vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
317300065,34016705,D,277140291,960403,17854.0
317300065,34016705,BD,783000,96,-1.0
1285515696,1153310548,D,273806334,968326,19709.0
1285515696,1153310548,BD,496833,12,-1.0
1103889693,413265510,D,29337958,80862,2876.0
1103889693,413265510,BD,2733708,1029,-1.0
304361791,286671334,D,282991625,1107187,18743.0
304361791,286671334,BD,1033917,157,-1.0
2933373180,94069125,D,252998042,865376,16850.0
2933373180,94069125,BD,643042,59,-1.0
73036563,290878246,D,89951500,314801,3834.0
73036563,290878246,BD,986583,121,-1.0
1096800199,1124791586,D,254709000,860382,13739.0
1096800199,1124791586,BD,1669625,457,-1.0
4569433036,55617095,D,19272042,44395,2556.0
4569433036,55617095,BD,502917,24,-1.0
878783937,2866386967,D,221564833,793493,9455.0
878783937,2866386967,BD,2259208,817,-1.0
1099881648,3339648201,D,295696250,1148464,16762.0
1099881648,3339648201,BD,1167209,225,-1.0
1298861133,7897070,D,80158875,296008,6381.0
1298861133,7897070,BD,987583,160,-1.0
471150789,2950904923,D,74467042,251292,3548.0
471150789,2950904923,BD,1344458,307,-1.0
1757139344,1298565320,D,344180500,1155530,21905.0
1757139344,1298565320,BD,1911625,574,-1.0
452535455,1088790554,D,154817541,577738,8810.0
452535455,1088790554,BD,637625,59,-1.0
1709787479,303796213,D,102291667,381593,6443.0
1709787479,303796213,BD,995334,157,-1.0
290480029,2338494866,D,50806416,167818,2415.0
290480029,2338494866,BD,620083,52,-1.0
294204348,2058553744,D,66951875,212479,3439.0
294204348,2058553744,BD,1140208,195,-1.0
1798729250,1233971753,D,136201000,479805,5797.0
1798729250,1233971753,BD,1507833,386,-1.0
244101609,3505312244,D,153240375,535756,10840.0
244101609,3505312244,BD,1111833,179,-1.0
5236136128,364105989,D,180810583,530280,6998.0
5236136128,364105989,BD,773709,73,-1.0
2328440773,280312706,D,234628750,812336,11165.0
2328440773,280312706,BD,1717417,490,-1.0
1406334322,2070378722,D,46100125,156681,4810.0
1406334322,2070378722,BD,1756208,507,-1.0
778437596,273229985,D,297607375,1153508,13145.0
778437596,273229985,BD,1232500,252,-1.0
249293345,1114488408,D,190644708,755583,10173.0
249293345,1114488408,BD,1244542,263,-1.0
1375632594,280552447,D,139494000,470257,6378.0
1375632594,280552447,BD,1819125,558,-1.0
1124844555,302297292,D,83094958,298907,6831.0
1124844555,302297292,BD,1419417,344,-1.0
2340682105,1298639786,D,106341959,382735,6789.0
2340682105,1298639786,BD,515125,21,-1.0
3409803701,2142067332,D,287546709,1124403,15632.0
3409803701,2142067332,BD,1936208,565,-1.0
485993716,2242757881,D,189715292,737878,7813.0
485993716,2242757881,BD,1124375,232,-1.0
2002438656,1036398752,D,260538750,1032368,18471.0
2002438656,1036398752,BD,1735583,541,-1.0
1247136382,276263563,D,130169916,460089,6061.0
1247136382,276263563,BD,1061291,139,-1.0
547067984,5182294282,D,298382750,1115298,15843.0
547067984,5182294282,BD,1222292,225,-1.0
1153183256,489784883,D,244227542,839881,15553.0
1153183256,489784883,BD,1390500,331,-1.0
3590125603,2334818417,D,90716584,337171,6558.0
3590125603,2334818417,BD,803958,90,-1.0
1262340421,1098610425,D,311011667,1134269,13057.0
1262340421,1098610425,BD,958500,135,-1.0
1606903858,257427915,D,211726458,701618,7062.0
1606903858,257427915,BD,810875,98,-1.0
1117387239,95168467,D,179477583,672542,9892.0
1117387239,95168467,BD,867416,118,-1.0
1580827892,2514485902,D,88693500,314917,4419.0
1580827892,2514485902,BD,989875,152,-1.0
1251959626,268694277,D,57240541,197913,9113.0
1251959626,268694277,BD,658875,56,-1.0
1065913673,1579843974,D,74734042,222715,3161.0
1065913673,1579843974,BD,1071667,196,-1.0
1080063032,4460312229,D,234779250,869923,16951.0
1080063032,4460312229,BD,737500,102,-1.0
2475367106,3495012294,D,248455709,897643,13356.0
2475367106,3495012294,BD,934750,141,-1.0
418053070,1235136197,D,252288709,861222,10760.0
418053070,1235136197,BD,1068333,187,-1.0
413370375,1163348354,D,158325666,511479,6885.0
413370375,1163348354,BD,1179875,238,-1.0
5299795989,1226430663,D,274284750,648258,9588.0
5299795989,1226430663,BD,1053416,160,-1.0
3055578818,2502632598,D,247970791,859891,10375.0
3055578818,2502632598,BD,1557208,434,-1.0
2072598492,1098298362,D,286698542,1068762,16772.0
2072598492,1098298362,BD,1113291,185,-1.0
411666541,4699922222,D,125610416,422843,4958.0
411666541,4699922222,BD,1005083,178,-1.0
4321952767,289244356,D,167903834,622030,6461.0
4321952767,289244356,BD,624542,51,-1.0
250381338,313548043,D,63087500,206856,2761.0
250381338,313548043,BD,874250,120,-1.0
446017638,472391783,D,153987709,527405,7968.0
446017638,472391783,BD,2479042,931,-1.0
2937763064,265900839,D,123350042,434321,11197.0
2937763064,265900839,BD,845041,94,-1.0
2382249640,2351968087,D,189757208,725417,10864.0
2382249640,2351968087,BD,1112875,230,-1.0
3731683910,5019236312,D,96257375,349864,6287.0
3731683910,5019236312,BD,587500,42,-1.0
1177520957,24965599,D,266634666,954245,13330.0
1177520957,24965599,BD,1079375,180,-1.0
321642375,5254313114,D,7367083,14042,2055.0
321642375,5254313114,BD,800000,95,-1.0
1246629310,1756487082,D,39337917,118707,4909.0
1246629310,1756487082,BD,589792,48,-1.0
317991711,1408903686,D,299202125,1100658,13724.0
317991711,1408903686,BD,1535667,402,-1.0
3172142040,462718038,D,174465917,673596,6982.0
3172142040,462718038,BD,774958,85,-1.0
3413821700,687886,D,288244500,1057451,13702.0
3413821700,687886,BD,563833,34,-1.0
1229828190,4496599094,D,32605625,98136,2566.0
1229828190,4496599094,BD,639375,51,-1.0
612989113,4633376307,D,291372792,1169333,21629.0
612989113,4633376307,BD,974667,156,-1.0
310136716,1443568307,D,106308083,399125,6717.0
310136716,1443568307,BD,1717958,434,-1.0
4633374983,880397227,D,1426000,1037,499.0
4633374983,880397227,BD,1522750,399,499.0
446017634,2287771176,D,186540125,658773,9273.0
446017634,2287771176,BD,968625,122,-1.0
479298203,5312471089,D,88911625,305521,5639.0
479298203,5312471089,BD,647458,62,-1.0
5056697613,117992,D,225689750,763962,13997.0
5056697613,117992,BD,547458,39,-1.0
1606671625,4197908961,D,182240750,653015,13972.0
1606671625,4197908961,BD,716667,67,-1.0
30395626,318580785,D,154143708,603185,13569.0
30395626,318580785,BD,1104333,191,-1.0
2083150433,1546348540,D,289710459,1028133,16693.0
2083150433,1546348540,BD,1578917,396,-1.0
1140599805,259815577,D,8456375,16433,2006.0
1140599805,259815577,BD,1165000,289,-1.0
1142993216,280307764,D,254251792,912664,10098.0
1142993216,280307764,BD,602333,49,-1.0
284830115,4149992398,D,135933000,475785,5887.0
284830115,4149992398,BD,3224916,576,-1.0
272248160,5125092111,D,155582917,581037,8625.0
272248160,5125092111,BD,1882666,539,-1.0
366091438,372418586,D,103543459,398775,8484.0
