vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
317300065,34016705,D,272959583,960403,17854.0
317300065,34016705,BD,363581417,462964,17887.0
1285515696,1153310548,D,260723750,968326,19709.0
1285515696,1153310548,BD,352398125,438634,19709.0
1103889693,413265510,D,29662625,80862,2876.0
1103889693,413265510,BD,38101416,37928,2876.0
304361791,286671334,D,301696416,1107187,18743.0
304361791,286671334,BD,320982416,442745,18743.0
2933373180,94069125,D,253464208,865376,16850.0
2933373180,94069125,BD,304402708,415790,16850.0
73036563,290878246,D,99603375,314801,3834.0
73036563,290878246,BD,54249083,61373,3834.0
1096800199,1124791586,D,248565167,860382,13739.0
1096800199,1124791586,BD,353858625,430773,13739.0
4569433036,55617095,D,20436709,44395,2556.0
4569433036,55617095,BD,26652041,20203,2556.0
878783937,2866386967,D,247792833,793493,9455.0
878783937,2866386967,BD,149621417,191370,9455.0
1099881648,3339648201,D,321026750,1148464,16762.0
1099881648,3339648201,BD,386330500,508015,16762.0
1298861133,7897070,D,95364375,296008,6381.0
1298861133,7897070,BD,73785250,86496,6381.0
471150789,2950904923,D,87304375,251292,3548.0
471150789,2950904923,BD,59567250,60252,3548.0
1757139344,1298565320,D,370505208,1155530,21905.0
1757139344,1298565320,BD,419003125,476172,21905.0
452535455,1088790554,D,165611208,577738,8810.0
452535455,1088790554,BD,61719417,73362,8810.0
1709787479,303796213,D,113553209,381593,6443.0
1709787479,303796213,BD,92247375,100437,6443.0
290480029,2338494866,D,60557666,167818,2415.0
290480029,2338494866,BD,42293250,42854,2415.0
294204348,2058553744,D,72820584,212479,3439.0
294204348,2058553744,BD,68139833,80498,3465.0
1798729250,1233971753,D,146239958,479805,5797.0
1798729250,1233971753,BD,94108917,114200,5797.0
244101609,3505312244,D,145841917,535756,10840.0
244101609,3505312244,BD,215618667,280446,10840.0
5236136128,364105989,D,152313209,530280,6998.0
5236136128,364105989,BD,95277208,114267,6998.0
2328440773,280312706,D,238907834,812336,11165.0
2328440773,280312706,BD,135594834,182907,11165.0
1406334322,2070378722,D,47764041,156681,4810.0
1406334322,2070378722,BD,42780792,45092,4810.0
778437596,273229985,D,322462667,1153508,13145.0
778437596,273229985,BD,319543083,443263,13145.0
249293345,1114488408,D,193589666,755583,10173.0
249293345,1114488408,BD,192548167,242715,10173.0
1375632594,280552447,D,137518625,470257,6378.0
1375632594,280552447,BD,66900375,79234,6378.0
1124844555,302297292,D,91593083,298907,6831.0
1124844555,302297292,BD,114160958,145931,6831.0
2340682105,1298639786,D,112601667,382735,6789.0
2340682105,1298639786,BD,89348833,109602,6789.0
3409803701,2142067332,D,299877792,1124403,15632.0
3409803701,2142067332,BD,292332583,403494,15632.0
485993716,2242757881,D,201522042,737878,7813.0
485993716,2242757881,BD,145177917,184908,7813.0
2002438656,1036398752,D,270372708,1032368,18471.0
2002438656,1036398752,BD,338151583,477871,18471.0
1247136382,276263563,D,134261125,460089,6061.0
1247136382,276263563,BD,109899458,144576,6061.0
547067984,5182294282,D,301817875,1115298,15843.0
547067984,5182294282,BD,361083125,496926,15843.0
1153183256,489784883,D,270760584,839881,15553.0
1153183256,489784883,BD,371596583,434229,15553.0
3590125603,2334818417,D,111131083,337171,6558.0
3590125603,2334818417,BD,80161541,86425,6558.0
1262340421,1098610425,D,309646791,1134269,13057.0
1262340421,1098610425,BD,194316417,270918,13057.0
1606903858,257427915,D,192088125,701618,7062.0
1606903858,257427915,BD,134906875,173449,7062.0
1117387239,95168467,D,183531083,672542,9892.0
1117387239,95168467,BD,195693625,252517,9892.0
1580827892,2514485902,D,91849500,314917,4419.0
1580827892,2514485902,BD,69734041,82681,4419.0
1251959626,268694277,D,57838417,197913,9113.0
1251959626,268694277,BD,136798708,194608,9142.0
1065913673,1579843974,D,73768875,222715,3161.0
1065913673,1579843974,BD,57030625,64972,3161.0
1080063032,4460312229,D,241860041,869923,16951.0
1080063032,4460312229,BD,318677250,421994,16962.0
2475367106,3495012294,D,248587125,897643,13356.0
2475367106,3495012294,BD,335696875,448426,13356.0
418053070,1235136197,D,251496042,861222,10760.0
418053070,1235136197,BD,213559875,282004,10760.0
413370375,1163348354,D,143257834,511479,6885.0
413370375,1163348354,BD,92816625,113785,6885.0
5299795989,1226430663,D,174995167,648258,9588.0
5299795989,1226430663,BD,180110042,228085,9588.0
3055578818,2502632598,D,249602709,859891,10375.0
3055578818,2502632598,BD,243615708,332007,10375.0
2072598492,1098298362,D,277131667,1068762,16772.0
2072598492,1098298362,BD,257699125,368431,16772.0
411666541,4699922222,D,144958000,422843,4958.0
411666541,4699922222,BD,97437000,120289,4958.0
4321952767,289244356,D,172051167,622030,6461.0
4321952767,289244356,BD,132715834,167028,6461.0
250381338,313548043,D,69455791,206856,2761.0
250381338,313548043,BD,48129083,49774,2761.0
446017638,472391783,D,145655083,527405,7968.0
446017638,472391783,BD,134938542,167994,7968.0
2937763064,265900839,D,125436167,434321,11197.0
2937763064,265900839,BD,228193625,327116,11197.0
2382249640,2351968087,D,209251291,725417,10864.0
2382249640,2351968087,BD,179774333,236952,10864.0
3731683910,5019236312,D,99369375,349864,6287.0
3731683910,5019236312,BD,96812667,123030,6287.0
1177520957,24965599,D,264198875,954245,13330.0
1177520957,24965599,BD,328499458,441863,13330.0
321642375,5254313114,D,7465583,14042,2055.0
321642375,5254313114,BD,6983500,4630,2055.0
1246629310,1756487082,D,41943375,118707,4909.0
1246629310,1756487082,BD,36137291,31375,4909.0
317991711,1408903686,D,331646167,1100658,13724.0
317991711,1408903686,BD,333823083,456925,13724.0
3172142040,462718038,D,184936416,673596,6982.0
3172142040,462718038,BD,105217083,125983,6982.0
3413821700,687886,D,290177875,1057451,13702.0
3413821700,687886,BD,270111375,376461,13702.0
1229828190,4496599094,D,34226500,98136,2566.0
1229828190,4496599094,BD,19865208,15643,2566.0
612989113,4633376307,D,312119208,1169333,21629.0
612989113,4633376307,BD,309814750,442461,21629.0
310136716,1443568307,D,110631166,399125,6717.0
