vertex1,vertex2,algorithm,time_ns,relaxed_edges,distance
317300065,34016705,D,332822542,470571,17854.0
317300065,34016705,CH,8767292,519,17854.0
1285515696,1153310548,D,303719500,474395,19709.0
1285515696,1153310548,CH,7965042,422,19709.0
1103889693,413265510,D,31736125,39712,2876.0
1103889693,413265510,CH,5016792,395,2876.0
304361791,286671334,D,380114500,541837,18743.0
304361791,286671334,CH,7878708,445,18743.0
2933373180,94069125,D,330177083,423756,16850.0
2933373180,94069125,CH,8500625,481,16850.0
73036563,290878246,D,100260083,153900,3834.0
73036563,290878246,CH,4836792,428,3834.0
1096800199,1124791586,D,275375500,421202,13739.0
1096800199,1124791586,CH,6826333,528,13739.0
4569433036,55617095,D,19865500,21819,2556.0
4569433036,55617095,CH,2437084,220,2556.0
878783937,2866386967,D,232083583,388295,9455.0
878783937,2866386967,CH,6182750,457,9455.0
1099881648,3339648201,D,308963250,561979,16762.0
1099881648,3339648201,CH,6357375,473,16762.0
1298861133,7897070,D,80994875,145081,6381.0
1298861133,7897070,CH,5493708,430,6381.0
471150789,2950904923,D,74302042,123121,3548.0
471150789,2950904923,CH,5934750,550,3548.0
1757139344,1298565320,D,313556875,565653,21905.0
1757139344,1298565320,CH,6400541,473,21905.0
452535455,1088790554,D,176652166,282547,8810.0
452535455,1088790554,CH,5596500,388,8810.0
1709787479,303796213,D,106336750,186849,6443.0
1709787479,303796213,CH,3847250,279,6443.0
290480029,2338494866,D,57258167,81535,2415.0
290480029,2338494866,CH,5259916,398,2415.0
294204348,2058553744,D,75285500,103537,3439.0
294204348,2058553744,CH,5489042,399,3439.0
1798729250,1233971753,D,135640542,234548,5797.0
1798729250,1233971753,CH,6448208,494,5797.0
244101609,3505312244,D,162318833,262256,10840.0
244101609,3505312244,CH,6582833,461,10840.0
5236136128,364105989,D,155905709,259564,6998.0
5236136128,364105989,CH,4120917,310,6998.0
2328440773,280312706,D,232639917,397914,11165.0
2328440773,280312706,CH,4978166,384,11165.0
1406334322,2070378722,D,45142750,76761,4810.0
1406334322,2070378722,CH,4562917,396,4810.0
778437596,273229985,D,333638167,564476,13145.0
778437596,273229985,CH,6677750,418,13145.0
249293345,1114488408,D,212120584,369891,10173.0
249293345,1114488408,CH,7481209,580,10173.0
1375632594,280552447,D,133101750,230264,6378.0
1375632594,280552447,CH,4039000,354,6378.0
1124844555,302297292,D,85540125,146490,6831.0
1124844555,302297292,CH,6350125,471,6831.0
2340682105,1298639786,D,100532500,187078,6789.0
2340682105,1298639786,CH,5780500,422,6789.0
3409803701,2142067332,D,336002625,550318,15632.0
3409803701,2142067332,CH,9030041,408,15632.0
485993716,2242757881,D,191384625,361037,7813.0
485993716,2242757881,CH,6121916,450,7813.0
2002438656,1036398752,D,269339333,505320,18471.0
2002438656,1036398752,CH,5868709,405,18471.0
1247136382,276263563,D,134359541,224860,6061.0
1247136382,276263563,CH,5347541,334,6061.0
547067984,5182294282,D,288894875,545795,15843.0
547067984,5182294282,CH,6116000,410,15843.0
1153183256,489784883,D,235862166,411177,15553.0
1153183256,489784883,CH,5569834,378,15553.0
3590125603,2334818417,D,90830208,164695,6558.0
3590125603,2334818417,CH,5639500,420,6558.0
1262340421,1098610425,D,310876000,555162,13057.0
1262340421,1098610425,CH,6457833,467,13057.0
1606903858,257427915,D,204127417,343252,7062.0
1606903858,257427915,CH,6014125,442,7062.0
1117387239,95168467,D,183803750,329213,9892.0
1117387239,95168467,CH,6395458,509,9892.0
1580827892,2514485902,D,93130583,154247,4419.0
1580827892,2514485902,CH,3974583,324,4419.0
1251959626,268694277,D,58995958,96910,9113.0
1251959626,268694277,CH,5260125,316,9113.0
1065913673,1579843974,D,67229209,109063,3161.0
1065913673,1579843974,CH,3975167,317,3161.0
1080063032,4460312229,D,233180375,425986,16951.0
1080063032,4460312229,CH,7335250,459,16951.0
2475367106,3495012294,D,280243708,439730,13356.0
2475367106,3495012294,CH,6806292,480,13356.0
418053070,1235136197,D,243395083,421775,10760.0
418053070,1235136197,CH,6087500,444,10760.0
413370375,1163348354,D,136897750,250360,6885.0
413370375,1163348354,CH,5651750,443,6885.0
5299795989,1226430663,D,168881542,317311,9588.0
5299795989,1226430663,CH,4464209,343,9588.0
3055578818,2502632598,D,238775125,421053,10375.0
3055578818,2502632598,CH,7040542,555,10375.0
2072598492,1098298362,D,276639167,523020,16772.0
2072598492,1098298362,CH,6613875,472,16772.0
411666541,4699922222,D,125874125,206968,4958.0
411666541,4699922222,CH,5381208,408,4958.0
4321952767,289244356,D,163601958,304244,6461.0
4321952767,289244356,CH,5503333,382,6461.0
250381338,313548043,D,62494542,100750,2761.0
250381338,313548043,CH,4312417,393,2761.0
446017638,472391783,D,144460500,258018,7968.0
446017638,472391783,CH,5740167,429,7968.0
2937763064,265900839,D,122700084,212517,11197.0
2937763064,265900839,CH,5910208,395,11197.0
2382249640,2351968087,D,204012125,355084,10864.0
2382249640,2351968087,CH,6625625,486,10864.0
3731683910,5019236312,D,102333666,171059,6287.0
3731683910,5019236312,CH,5631500,355,6287.0
1177520957,24965599,D,250158916,467481,13330.0
1177520957,24965599,CH,6123375,464,13330.0
321642375,5254313114,D,7701917,6925,2055.0
321642375,5254313114,CH,1959166,173,2055.0
1246629310,1756487082,D,38294583,58121,4909.0
1246629310,1756487082,CH,3501834,285,4909.0
317991711,1408903686,D,302145542,538642,13724.0
317991711,1408903686,CH,6480292,421,13724.0
3172142040,462718038,D,193837042,329506,6982.0
3172142040,462718038,CH,4967833,360,6982.0
3413821700,687886,D,337650292,517702,13702.0
3413821700,687886,CH,7393875,476,13702.0
1229828190,4496599094,D,33265750,47945,2566.0
1229828190,4496599094,CH,3184916,238,2566.0
612989113,4633376307,D,305638083,572404,21629.0
612989113,4633376307,CH,5546625,367,21629.0
310136716,1443568307,D,105663666,195013,6717.0
310136716,1443568307,CH,4352666,342,6717.0
4633374983,880397227,D,1534750,522,499.0
4633374983,880397227,CH,998917,53,499.0
446017634,2287771176,D,192107417,322370,9273.0
446017634,2287771176,CH,4720750,345,9273.0
479298203,5312471089,D,88420500,149525,5639.0
479298203,5312471089,CH,5136083,391,5639.0
5056697613,117992,D,188102041,373881,13997.0
5056697613,117992,CH,4429833,311,13997.0
1606671625,4197908961,D,163239333,319661,13972.0
1606671625,4197908961,CH,5159000,385,13972.0
30395626,318580785,D,154432625,295263,13569.0
30395626,318580785,CH,4586375,330,13569.0
2083150433,1546348540,D,300745167,503408,16693.0
2083150433,1546348540,CH,5413917,298,16693.0
1140599805,259815577,D,8704125,8069,2006.0
1140599805,259815577,CH,2109917,182,2006.0
1142993216,280307764,D,262105625,447112,10098.0
1142993216,280307764,CH,7483083,575,10098.0
284830115,4149992398,D,146597750,232777,5887.0
284830115,4149992398,CH,5329334,406,5887.0
272248160,5125092111,D,171442417,284347,8625.0
272248160,5125092111,CH,5507333,389,8625.0
366091438,372418586,D,106081042,194925,8484.0
366091438,372418586,CH,5934750,445,8484.0
3897585976,497375310,D,47896375,65995,2566.0
3897585976,497375310,CH,3648875,331,2566.0
1236202176,4979394425,D,288892917,554055,17358.0
1236202176,4979394425,CH,7420833,565,17358.0
2962446940,1073461935,D,144136500,257305,5709.0
2962446940,1073461935,CH,5243000,377,5709.0
5309217566,904022742,D,294196458,552019,19252.0
5309217566,904022742,CH,6268208,425,19252.0
1570136300,2500432956,D,244167625,425133,17144.0
1570136300,2500432956,CH,6538792,371,17144.0
2283210983,3222983420,D,127975166,208620,6399.0
2283210983,3222983420,CH,5869917,402,6399.0
4861668267,3379407509,D,247556375,429682,12591.0
4861668267,3379407509,CH,5630375,399,12591.0
344579878,1165968994,D,247480125,449978,14742.0
344579878,1165968994,CH,7699041,598,14742.0
1105394048,266225778,D,150123792,256484,9282.0
1105394048,266225778,CH,6743583,478,9282.0
1729169129,30916165,D,304867625,485545,13731.0
1729169129,30916165,CH,6120041,411,13731.0
1119749420,1099704221,D,211158500,352024,9456.0
1119749420,1099704221,CH,6311000,490,9456.0
8091689,276189367,D,102127708,189060,8603.0
8091689,276189367,CH,5740625,437,8603.0
261027971,1117161696,D,189936333,357580,7588.0
261027971,1117161696,CH,5121250,328,7588.0
269936898,85789276,D,266542000,468003,10835.0
269936898,85789276,CH,6803125,547,10835.0
1657807241,275977540,D,180726708,318533,13911.0
1657807241,275977540,CH,4695500,287,13911.0
4785284484,1137326159,D,153257750,285760,7647.0
4785284484,1137326159,CH,4545250,322,7647.0
1299573381,4137529034,D,273719583,500400,10839.0
1299573381,4137529034,CH,6091375,405,10839.0
1084359290,5307014746,D,249175125,446895,12729.0
1084359290,5307014746,CH,4761417,347,12729.0
388650755,3818867351,D,154020917,239001,8371.0
388650755,3818867351,CH,4531041,302,8371.0
1148889677,3827108495,D,297556417,558602,20825.0
1148889677,3827108495,CH,5168125,347,20825.0
2600662098,748470448,D,43508208,68492,5548.0
2600662098,748470448,CH,3461792,271,5548.0
291839314,294280363,D,106037792,187917,7457.0
291839314,294280363,CH,5090875,374,7457.0
3110160826,1986565045,D,271501500,444618,12456.0
3110160826,1986565045,CH,6529500,504,12456.0
2974709584,2652784549,D,3155166,2419,728.0
2974709584,2652784549,CH,1223959,84,728.0
3715603908,255740482,D,331382292,479935,11102.0
3715603908,255740482,CH,5359959,352,11102.0
297194886,263451373,D,171097542,328526,13487.0
297194886,263451373,CH,5853083,442,13487.0
2522086789,1746863929,D,52829333,90397,5362.0
2522086789,1746863929,CH,4515958,318,5362.0
312591642,1168444553,D,170948916,331567,10627.0
312591642,1168444553,CH,4993208,320,10627.0
769214349,746868997,D,190629041,351012,10915.0
769214349,746868997,CH,7400375,545,10915.0
5236424992,3330556599,D,20090875,23973,2237.0
5236424992,3330556599,CH,2736291,252,2237.0
414573392,2931542879,D,285005250,503077,18611.0
414573392,2931542879,CH,6538625,440,18611.0
669096304,1299751600,D,176367542,316908,7600.0
669096304,1299751600,CH,6648375,485,7600.0
3619147632,1172802487,D,283119792,485298,13343.0
3619147632,1172802487,CH,5388833,382,13343.0
278878404,3268034126,D,144308417,258068,13052.0
278878404,3268034126,CH,6122375,416,13052.0
295632527,252188484,D,199495667,357016,7443.0
295632527,252188484,CH,5956000,435,7443.0
5343388971,26981894,D,307330625,563128,18946.0
5343388971,26981894,CH,6048416,414,18946.0
290678176,1131286350,D,334997417,560435,15003.0
290678176,1131286350,CH,6868708,510,15003.0
506345267,2591865236,D,288923250,454356,15046.0
506345267,2591865236,CH,6308000,439,15046.0
4141679787,4029779478,D,168577583,312551,8605.0
4141679787,4029779478,CH,4006125,243,8605.0
1082697397,2513841636,D,130891209,223337,4827.0
1082697397,2513841636,CH,5418042,419,4827.0
260996239,494616321,D,77606625,134085,3331.0
260996239,494616321,CH,4809458,386,3331.0
2332126134,575395,D,274977542,456847,14479.0
2332126134,575395,CH,6728042,505,14479.0
2416519335,1237456653,D,96594292,169293,4497.0
2416519335,1237456653,CH,4987667,343,4497.0
3440082612,1347334739,D,260157000,479332,14021.0
3440082612,1347334739,CH,6366500,434,14021.0
2961172303,4173955942,D,39509708,58197,2593.0
2961172303,4173955942,CH,3984750,375,2593.0
451023665,746346133,D,117394250,199408,6899.0
451023665,746346133,CH,5603375,421,6899.0
1427084725,1094993305,D,237085875,399412,11269.0
1427084725,1094993305,CH,6285375,468,11269.0
260769601,5392686856,D,153563916,281115,9277.0
260769601,5392686856,CH,4304625,262,9277.0
263703812,1576112092,D,127441750,213285,10250.0
263703812,1576112092,CH,4991042,351,10250.0
258604272,252121736,D,86626084,157649,4247.0
258604272,252121736,CH,6310417,477,4247.0
3910340716,4523985331,D,182059500,352597,14433.0
3910340716,4523985331,CH,7469959,588,14433.0
5074029610,459792608,D,265043291,519156,19360.0
5074029610,459792608,CH,5725125,423,19360.0
258413759,4642140058,D,73414292,120117,3284.0
258413759,4642140058,CH,4770542,405,3284.0
280695422,694391023,D,92380375,168600,6173.0
280695422,694391023,CH,5183167,340,6173.0
271437677,270728228,D,133479042,209711,9836.0
271437677,270728228,CH,5759208,429,9836.0
1128112990,2558013647,D,133300917,222884,7551.0
1128112990,2558013647,CH,5994584,417,7551.0
339902642,1161152770,D,234384000,377391,10972.0
339902642,1161152770,CH,6984542,468,10972.0
189046201,281412079,D,159553167,268960,8684.0
189046201,281412079,CH,5883875,437,8684.0
2857799211,4927560422,D,76940625,117197,6488.0
2857799211,4927560422,CH,3443334,236,6488.0
1582402452,1217907680,D,157729292,249893,6166.0
1582402452,1217907680,CH,5411750,383,6166.0
977747950,1578631441,D,210797333,388040,10851.0
977747950,1578631441,CH,6376292,467,10851.0
1137748632,1239556473,D,312321333,541309,17686.0
1137748632,1239556473,CH,5927542,417,17686.0
2476554913,383912442,D,170168042,278174,7440.0
2476554913,383912442,CH,6239958,475,7440.0
1463666783,3473563080,D,198585584,333677,8137.0
1463666783,3473563080,CH,5695625,405,8137.0
1582185667,277456096,D,146087792,207262,5613.0
1582185667,277456096,CH,4566125,289,5613.0
15043918,3481132109,D,276759042,488116,11494.0
15043918,3481132109,CH,4623417,333,11494.0
300994400,277628456,D,246336958,432410,11768.0
300994400,277628456,CH,5257666,360,11768.0
5269710444,1080957023,D,282981875,531732,17993.0
5269710444,1080957023,CH,6549541,454,17993.0
4581780653,1237292900,D,133660750,218005,8839.0
4581780653,1237292900,CH,4579042,363,8839.0
389137193,1879793390,D,93447292,167047,8569.0
389137193,1879793390,CH,3881000,289,8569.0
271807750,1151844678,D,202081291,311063,11350.0
271807750,1151844678,CH,5380083,418,11350.0
2233653014,1345221689,D,39054792,58277,2738.0
2233653014,1345221689,CH,4695708,371,2738.0
460480801,3224617114,D,42573584,55887,2674.0
460480801,3224617114,CH,4231250,306,2674.0
1493427600,5012629216,D,226491542,364692,12155.0
1493427600,5012629216,CH,5730125,364,12155.0
9786572,1457078620,D,268955166,514406,13984.0
9786572,1457078620,CH,4252833,300,13984.0
306245469,393773529,D,283727208,509225,12234.0
306245469,393773529,CH,6654333,502,12234.0
1233968299,322106730,D,331703708,559436,16640.0
1233968299,322106730,CH,5829583,372,16640.0
310717660,452535412,D,73711458,126218,5371.0
310717660,452535412,CH,3991292,305,5371.0
1272528018,1313455828,D,136901667,233845,5605.0
1272528018,1313455828,CH,4827917,387,5605.0
1057409991,1785976009,D,53842959,88227,4770.0
1057409991,1785976009,CH,4340000,335,4770.0
958445382,1231323115,D,107793875,165122,7410.0
958445382,1231323115,CH,4083209,327,7410.0
4569433942,4197209896,D,318512750,554464,18511.0
4569433942,4197209896,CH,5506584,383,18511.0
1177204918,252262687,D,87378125,136978,5545.0
1177204918,252262687,CH,4869375,342,5545.0
290100646,2974709581,D,29188125,39464,1520.0
290100646,2974709581,CH,2559125,215,1520.0
1296445291,244976381,D,290154250,550581,13364.0
1296445291,244976381,CH,7085125,473,13364.0
692665,1689133583,D,321503458,509605,12419.0
692665,1689133583,CH,5791166,376,12419.0
383891713,1223537720,D,68937833,106804,6138.0
383891713,1223537720,CH,4675584,371,6138.0
479316105,3258979443,D,78917416,125433,4545.0
479316105,3258979443,CH,5359208,417,4545.0
3034207150,17345227,D,280916500,513934,11436.0
3034207150,17345227,CH,6426209,446,11436.0
318593689,278798620,D,176346958,311081,7133.0
318593689,278798620,CH,4944750,361,7133.0
438047606,119100867,D,23436333,29119,1619.0
438047606,119100867,CH,2592791,238,1619.0
2229300331,434437691,D,25890125,36302,3283.0
2229300331,434437691,CH,2583625,200,3283.0
3088895286,370117919,D,192588083,373949,12377.0
3088895286,370117919,CH,6633042,482,12377.0
211493653,1549344322,D,50941000,86137,3110.0
211493653,1549344322,CH,3944334,353,3110.0
2127601667,189092217,D,65909584,110584,5564.0
2127601667,189092217,CH,4307041,311,5564.0
2047074118,1043107378,D,191820583,345952,9412.0
2047074118,1043107378,CH,6397584,463,9412.0
1170950491,305575253,D,145935166,258926,9267.0
1170950491,305575253,CH,6275000,447,9267.0
1975371129,2590819722,D,271715042,488499,14438.0
1975371129,2590819722,CH,5164250,356,14438.0
450563990,1132488051,D,3605083,2937,1061.0
450563990,1132488051,CH,1227917,70,1061.0
484688359,604004818,D,24976166,26972,1971.0
484688359,604004818,CH,2629542,268,1971.0
2669539881,34002150,D,8384750,8507,3204.0
2669539881,34002150,CH,1507375,102,3204.0
617811212,1681733869,D,54546959,89984,3616.0
617811212,1681733869,CH,6062583,498,3616.0
2655806998,1166294742,D,243339583,396436,10020.0
2655806998,1166294742,CH,5423875,416,10020.0
1246433241,469733216,D,175581417,261733,7283.0
1246433241,469733216,CH,5893750,433,7283.0
311607280,2359406687,D,102273625,184567,6318.0
311607280,2359406687,CH,4880000,361,6318.0
158693993,3776908207,D,247886375,437908,13782.0
158693993,3776908207,CH,5611417,369,13782.0
1102901519,882380650,D,179316500,342182,10954.0
1102901519,882380650,CH,7301167,544,10954.0
3531222298,1893856878,D,263105208,486354,17221.0
3531222298,1893856878,CH,5355875,358,17221.0
1524382451,1113638191,D,137101500,248222,12054.0
1524382451,1113638191,CH,7142666,538,12054.0
1103737047,32993243,D,16047334,16510,1716.0
1103737047,32993243,CH,2540500,218,1716.0
802364333,2497159095,D,186903417,374580,12408.0
802364333,2497159095,CH,7469958,495,12408.0
1635179451,1300111852,D,121904750,204629,5296.0
1635179451,1300111852,CH,4929417,364,5296.0
272497942,1301954934,D,292165209,489189,12957.0
272497942,1301954934,CH,4703125,317,12957.0
1927072430,4696037092,D,142975667,248404,11149.0
1927072430,4696037092,CH,6310417,458,11149.0
2505524876,5236132715,D,15747750,16783,3866.0
2505524876,5236132715,CH,2371667,223,3866.0
1665886639,60693726,D,302325208,549983,11425.0
1665886639,60693726,CH,6167333,442,11425.0
322022926,1219553179,D,107226875,194425,6295.0
322022926,1219553179,CH,6964125,545,6295.0
611898315,1239268489,D,146942417,265757,7499.0
611898315,1239268489,CH,7702417,620,7499.0
149198823,311831740,D,13917208,15430,1622.0
149198823,311831740,CH,1662334,153,1622.0
3166450427,1820489981,D,72587417,114436,3198.0
3166450427,1820489981,CH,3311834,290,3198.0
1576155249,3199371222,D,121290625,209652,5645.0
1576155249,3199371222,CH,4781958,306,5645.0
4738359078,322750947,D,157852041,275911,7307.0
4738359078,322750947,CH,6027000,439,7307.0
